Attribute number ,Brand,Model,Model Version,Year,Price (₹),Engine Capacity (cc),Power (hp),Torque (Nm),Top Speed (km/h),Fuel Type,Electric,Transmission Type,ABS,Fuel Tank Capacity (litres),Mileage (kmpl or km/charge),Weight (kg),Type,Country of Origin,Launch Year,Emission Standard,Wheel Type,Cooling Type,Braking System,Battery Capacity (kWh),Range per Charge (km),Charging Time (hours),Length (mm),Width (mm),Height (mm),Seat Height (mm),Seat Type,Wheelbase (mm),Max Power (bhp),Max Power (hp),Max Power (kW),Engine Displacement (cc),Engine Cylinders,Ignition System,Transmission,CO2 (g/km),Max Torque (Nm),Where Available,First Available Date/Release Date,Engine Compression Ratio,Acceleration 0-100 km/h (s),Top Speed (kmph),Storage,Warranty (y),Conclude Date
O101,Honda,Shine,V5.6,2023,288972,462,17.9,37.28,82,Petrol,No,Automatic,Yes,13.8,47,170,Sport,Austria,2020,Euro5,Spoke,Oil,Disc/Drum,,,,1795,700,1100,760,Single,1270,5.78,5.71,4.2,—,—,—,Automatic,74,17,TW,3/18/2021,12:05,7,74,Underseat compartment,2,999999999
N102,KTM,Duke,V2.2,2019,55699,477,21.35,42.42,90,Petrol,No,Automatic,No,9.6,36,142,Sport,India,2016,BS6,Alloy,Liquid,Drum,,,,1795,700,1100,760,Single,1270,5.78,5.71,4.2,—,5.6,—,Automatic,74,17,TW,3/18/2021,36:78/+98,9,74,Underseat compartment,2,999999999
D103,Suzuki,Gixxer,V1.6,2020,277672,,8.03,12.79,70,Electric,Yes,Automatic,Yes,,80,95,Cruiser,India,2020,,Spoke,Liquid,Drum,2.37,106,3.1,1796,700,1100,738,Single,1285,2.6,2.71,2,—,—,—,Automatic,17,17,TW,3/19/2021,0.254861111,—,50,Underseat compartment,6,999999999
O104,Honda,Shine,V4.7,2020,169442,,5.49,24.22,91,Electric,Yes,Automatic,No,,78,96,Commuter,India,2019,,Alloy,Air,Drum,4.04,76,5.3,1797,700,1100,—,Single,—,—,—,—,—,5.%7,—,Manual,—,18,TW,3/20/2021,—,10/7:5,—,Yes,9,—
N105,Suzuki,Gixxer,V4.3,2019,286214,278,16.62,48.72,154,Petrol,No,Automatic,Yes,13.5,46,163,Commuter,Japan,2021,BS4,Alloy,Air,Disc/Drum,,,,1798,700,1100,,Single,—,—,—,—,—,—,—,Manual,—,20,TW,3/21/2021,,—,—,No,—,—
D106,Honda,Shine,V1.9,2018,106327,,9.26,20.35,86,Electric,Yes,Automatic,No,,119,125,Commuter,China,2023,,Spoke,Liquid,Disc,3.61,107,3.1,1799,700,1100,716,Single,—,—,—,—,—,—,—,Manual,—,21.33333333,TW,3/22/2021,13:05,,—,—,,99999999
O107,TVS,Apache,V2.4,2024,$108094,,4.9,12.29,86,Electric,Yes,Automatic,No,,120,118,Sport,Austria,2024,,Alloy,Oil,Disc/Drum,2.56,162,5.8,1800,700,1100,694,Single,—,—,—,—,—,100.&9,—,Manual,—,22.83333333,TW,3/23/2021,36:78/+99,20,—,Underseat compartment,—,
N108,Suzuki,Gixxer,V4.1,2021,120861,478,28.71,16.29,149,Petrol,No,Manual,No,14.4,55,207,Cruiser,Austria,2025,Euro5,Spoke,Air,Drum,,,,1801,700,1100,—,Single,—,—,—,—,—,—,—,Manual,—,24.33333333,TW,3/24/2021,1.254861111,11,—,Underseat compartment,11,999999999
D109,Suzuki,Gixxer,V1.3,2023,294151,,8.95,25.3,99,Electric,Yes,Automatic,Yes,,157,97,Scooter,Japan,2018,,Alloy,Air,Disc/Drum,4.87,116,4.2,1802,700,1100,,Single,—,—,—,—,—,6.6,—,Manual,100,25.83333333,TW,3/25/2021,—,13,—,Yes,13.5,999999999
O110,Suzuki,Gixxer,V1.2,2018,260830,,7.77,22.73,74,Electric,Yes,Automatic,Yes,,102,130,Cruiser,Austria,2019,,Alloy,Liquid,Disc/Drum,2.49,133,5.8,1803,700,1100,672,Single,—,—,—,—,—,—,—,Manual,—,27.33333333,TW,3/26/2021,,—,—,No,16,999999999
N111,KTM,Duke,V5.1,2023,292579,,7.72,17.9,101,Electric,Yes,Automatic,No,,65,127,Sport,China,2017,,Spoke,Liquid,Disc,4.87,107,5.3,1804,700,1100,650,Single,1270,4.2,—,—,—,5.%8,—,Manual,—,28.83333333,TW,3/27/2021,14:05,10/7:6,—,—,18.5,—
D112,Suzuki,Gixxer,V1.1,2023,279238,,7.19,10.15,75,Electric,Yes,Automatic,Yes,,180,102,Sport,Austria,2019,,Spoke,Air,Drum,1.7,111,5.5,1805,700,1100,—,Single,1270,4.2,—,—,—,—,—,Manual,101,30.33333333,TW,3/28/2021,36:78/+100,—,—,Underseat compartment,—,—
O113,Honda,Shine,V4.2,2020,263308,619,21.79,52.08,159,Petrol,No,Automatic,Yes,10.1,31,146,Commuter,India,2023,Euro5,Spoke,Air,Disc/Drum,,,,1806,700,1100,,Single,1285,2,—,—,—,—,—,Manual,-2,31.83333333,TW,—,2.254861111,,—,Underseat compartment,,100000000
N114,Yamaha,FZ,V1.1,2025,111769,,7.52,20.45,77,Electric,Yes,Automatic,No,,149,120,Cruiser,China,2023,,Spoke,Oil,Disc,4.03,107,4.7,1807,700,1100,628,Single,1290,—,—,—,—,100.&10,—,Manual,-30.5,33.33333333,TW,,—,21,—,Yes,—,
D115,Hero,Splendor,V4.0,2020,280195,325,32.57,36.62,115,Petrol,No,Automatic,No,10.5,46,142,Adventure,Austria,2023,BS6,Alloy,Liquid,Drum,,,,1808,700,1100,606,Single,1297.5,—,—,—,—,—,—,Manual,-59,34.83333333,TW,—,,15,—,No,21,999999999
O116,TVS,Apache,V2.7,2023,198319,336,17.29,10.65,134,Petrol,No,Manual,No,12.1,59,200,Cruiser,India,2025,BS6,Alloy,Air,Disc,,,,1809,800,1100,—,Single,1305,—,4.2,—,—,7.6,—,Manual,—,36.33333333,TW,,15:05,17,—,—,23.5,999999999
N117,Hero,Splendor,V1.2,2023,235345,,9.57,10.71,70,Electric,Yes,Automatic,Yes,,88,97,Cruiser,Japan,2016,,Alloy,Liquid,Disc,3.24,176,5.1,1810,900,1100,,Single,1312.5,—,4.2,—,—,—,—,—,—,37.83333333,TW,3/29/2021,36:78/+101,—,—,Underseat compartment,26,999999999
D118,TVS,Apache,V2.3,2018,222835,,8.97,17.73,84,Electric,Yes,Automatic,No,,167,108,Sport,India,2022,,Alloy,Air,Drum,2.66,77,4.7,—,1000,1100,584,Single,1320,—,2,—,—,5.%9,—,,—,39.33333333,TW,3/30/2021,3.254861111,10/7:7,—,Underseat compartment,28.5,—
O119,Yamaha,FZ,V3.8,2022,168418,,4.82,19.8,79,Electric,Yes,Automatic,Yes,,141,114,Cruiser,Japan,2023,,Spoke,Liquid,Disc,4.4,84,3.5,—,1100,1100,562,Single,1327.5,—,—,5.71,—,—,—,—,—,40.83333333,TW,3/31/2021,—,—,—,Yes,—,—
N120,KTM,Duke,V1.3,2023,207887,,3.91,16.02,87,Electric,Yes,Automatic,Yes,,122,130,Cruiser,Japan,2024,,Spoke,Liquid,Disc,3.25,135,4.1,—,1200,1100,—,Single,1335,—,—,5.71,—,—,—,Automatic,—,42.33333333,TW,4/1/2021,,,—,No,,100000001
D121,Suzuki,Gixxer,V3.9,2023,287606,364,29.14,38.07,144,Petrol,No,Manual,No,13.6,58,181,Scooter,Austria,2016,BS6,Spoke,Oil,Drum,,,,—,1300,1100,,Single,1342.5,—,—,2.71,—,100.&11,—,Automatic,101,43.83333333,TW,4/2/2021,16:05,22,—,—,—,
O122,Yamaha,FZ,V1.3,2020,121619,111,9.85,42.99,118,Petrol,No,Manual,Yes,9.6,54,145,Cruiser,Japan,2019,BS4,Spoke,Liquid,Drum,,,,—,1400,1100,540,Single,1350,—,5.71,—,—,—,—,Manual,—,45.33333333,TW,4/3/2021,36:78/+102,19,—,Underseat compartment,31,999999999
N123,Hero,Splendor,V5.1,2023,179040,203,21.56,19,144,Petrol,No,Manual,Yes,12.4,34,189,Commuter,China,2016,BS6,Alloy,Liquid,Disc,,,,—,1500,1100,518,Single,1357.5,—,5.71,—,—,8.6,—,Manual,—,46.83333333,TW,—,4.254861111,21,—,Underseat compartment,33.5,999999999
D124,Bajaj,Pulsar,V3.0,2020,133538,,9.29,13.92,96,Electric,Yes,Automatic,No,,162,102,Adventure,Japan,2022,,Alloy,Oil,Disc/Drum,2.84,82,4.3,—,1600,1100,—,Single,1365,—,2.71,—,—,—,—,Manual,102,48.33333333,TW,,—,—,—,Yes,36,999999999
O125,Bajaj,Pulsar,V1.9,2025,268397,,7.47,21.87,65,Electric,Yes,Automatic,No,,115,116,Sport,India,2017,,Spoke,Air,Disc/Drum,3.65,105,4.8,—,1700,1100,,Single,1372.5,—,5.71,—,—,5.%10,—,Manual,-87.5,49.83333333,TW,—,,10/7:8,—,No,38.5,—
N126,Bajaj,Pulsar,V2.2,2023,93611,,8.89,13.05,115,Electric,Yes,Automatic,No,,128,121,Scooter,Austria,2017,,Spoke,Oil,Drum,3.2,179,3.8,—,1800,—,496,Single,1380,—,5.71,—,—,—,—,Manual,-116,51.33333333,TW,,17:05,—,—,—,—,—
D127,Bajaj,Pulsar,V3.2,2025,129919,442,44.61,41.85,140,Petrol,No,Automatic,No,11.9,44,134,Sport,China,2019,Euro5,Spoke,Air,Disc,,,,—,1900,—,474,Single,1387.5,—,2.71,4.2,—,—,—,Manual,-144.5,52.83333333,TW,4/4/2021,36:78/+103,,—,Underseat compartment,,100000002
O128,Royal Enfield,Classic,V5.1,2020,149157,,7.77,13.15,89,Electric,Yes,Automatic,Yes,,106,105,Sport,China,2018,,Spoke,Oil,Disc/Drum,3.21,72,3.9,—,2000,—,—,Single,1395,—,—,4.2,—,100.&12,—,Manual,—,54.33333333,TW,4/5/2021,5.254861111,23,—,Underseat compartment,—,
